Nombre,Descripcion,Foto,Ficha,Google Maps,Categoria,Latitude,Longitude
Monrovia (Providence Island y West Point),"Media · Ciudad · servicios — Capital y única gran base logística: puerto, aeropuerto (Roberts Intl., a ~1 h), bancos y talleres. Providence Island, cuna histórica del asentamiento, y el barrio densísimo de West Point como referencia urbana. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/An%20aerial%20view%20of%20the%20West%20Point%20area%20of%20Monrovia.jpg?width=900,https://theawakeman.github.io/africa2027/paises/liberia/#poi-1,"https://www.google.com/maps?q=6.3156,-10.8074",PDI · Azul,6.3156,-10.8074
Robertsport,"Media · Costa · surf — Península de Cape Mount, meca del surf en África Occidental, playas extensas y poco masificadas, y el Centro Tubman de Cultura Africana. Buen punto de descanso cerca de la frontera con Sierra Leona. — Perro: permitido",https://commons.wikimedia.org/wiki/Special:FilePath/Robertsport%20Beach%2C%20Cape%20Mount%20County.jpg?width=900,https://theawakeman.github.io/africa2027/paises/liberia/#poi-2,"https://www.google.com/maps?q=6.75,-11.3667",PDI · Turquesa,6.75,-11.3667
Parque Nacional de Sapo,"Alta · Naturaleza — Segunda mayor selva primaria continua de África Occidental tras Taï; hipopótamo pigmeo, elefante de bosque y chimpancés. Acceso por pista larga desde Greenville; solo con guía del parque y autorización previa. El perro n — Perro: prohibido",https://commons.wikimedia.org/wiki/Special:FilePath/Zwergflusspferd%20-%20Pygmy%20Hippopotamus%20-%20Hexaprotodon%20liberiensis.jpg?width=900,https://theawakeman.github.io/africa2027/paises/liberia/#poi-3,"https://www.google.com/maps?q=5.4,-8.8",PDI · Verde,5.4,-8.8
Reserva Estricta del Monte Nimba (lado liberiano),"Media · Naturaleza · frontera — Macizo montañoso compartido con Guinea y Costa de Marfil, reserva UNESCO de alta biodiversidad; el acceso turístico regulado es limitado y depende de la zona (núcleo vs. periferia). Confirmar con la Forestry Development  — Perro: requiere autorización escrita",https://commons.wikimedia.org/wiki/Special:FilePath/Mount%20Nimba%20Strict%20Nature%20Reserve-108453.jpg?width=900,https://theawakeman.github.io/africa2027/paises/liberia/#poi-4,"https://www.google.com/maps?q=7.55,-8.5",PDI · Verde,7.55,-8.5
Man y las Dents de Man,"Media · Naturaleza · montaña — Ciudad de montaña rodeada de picos escarpados (Dents de Man), cascadas y puentes colgantes tradicionales de liana. Base de aclimatación tras la entrada desde Liberia, con clima más fresco que la costa. — Perro: permitido",https://commons.wikimedia.org/wiki/Special:FilePath/Dent%20de%20Man%20montagne.jpg?width=900,https://theawakeman.github.io/africa2027/paises/costa-de-marfil/#poi-1,"https://www.google.com/maps?q=7.4125,-7.5539",PDI · Verde,7.4125,-7.5539
Yamoussoukro — Basílica de Nuestra Señora de la Paz,"Media · Patrimonio — Capital política del país y mayor basílica católica del mundo por superficie, réplica ampliada de San Pedro del Vaticano. Visita guiada obligatoria en el interior; el perro puede quedarse en el vehículo o esperar en el e — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Basilique%20notre%20Dame%20de%20la%20Paix%20de%20Yamoussoukro%20(2).jpg?width=900,https://theawakeman.github.io/africa2027/paises/costa-de-marfil/#poi-2,"https://www.google.com/maps?q=6.8167,-5.2833",PDI · Ámbar,6.8167,-5.2833
Grand-Bassam,"Media · Patrimonio UNESCO — Antigua capital colonial francesa, ciudad UNESCO de arquitectura colonial en decadencia elegante junto a playas de arena; museo del traje y ambiente artesanal. Parada obligada cerca de Abidjan. — Perro: permitido",https://commons.wikimedia.org/wiki/Special:FilePath/WikiConvFr23%20Visite%20B%C3%A2timents%20sites%20historiques%20de%20Grand-Bassam%20(boblioth%C3%A8que%20municicpale%20de%20Grand-Bassam%20)%2002.jpg?width=900,https://theawakeman.github.io/africa2027/paises/costa-de-marfil/#poi-3,"https://www.google.com/maps?q=5.2,-3.7333",PDI · Ámbar,5.2,-3.7333
Abidjan (Plateau y puerto),"Media · Ciudad · servicios — Capital económica y mayor base logística del golfo de Guinea occidental: puerto, aeropuerto internacional, embajada de España, talleres y recambios 4x4 de referencia regional. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/WikiConvFr23%20Visite%20B%C3%A2timents%20sites%20historiques%20de%20Grand-Bassam%20(boblioth%C3%A8que%20municicpale%20de%20Grand-Bassam%20)%2003.jpg?width=900,https://theawakeman.github.io/africa2027/paises/costa-de-marfil/#poi-4,"https://www.google.com/maps?q=5.3097,-4.0122",PDI · Azul,5.3097,-4.0122
Castillo de Elmina,"Alta · Patrimonio UNESCO — El fuerte europeo más antiguo del África subsahariana (portugués, 1482), punto central de la memoria de la trata atlántica; museo y visita guiada obligatoria en el interior. El perro espera fuera durante la visita. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Elmina%20Castle%20-%20Ghana.jpg?width=900,https://theawakeman.github.io/africa2027/paises/ghana/#poi-1,"https://www.google.com/maps?q=5.0836,-1.3508",PDI · Ámbar,5.0836,-1.3508
Castillo de Cape Coast,"Alta · Patrimonio UNESCO — Fuerte y museo gemelo de Elmina, con la «puerta sin retorno» hacia los barcos negreros; una de las visitas históricas más intensas de la ruta. Reservar tiempo para la explicación guiada, obligatoria y recomendable. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Castle%2C%20Cape%20Coast%20(P1100221).jpg?width=900,https://theawakeman.github.io/africa2027/paises/ghana/#poi-2,"https://www.google.com/maps?q=5.1053,-1.2466",PDI · Ámbar,5.1053,-1.2466
